product_category,total_orders,detractors,pct_detractors,avg_year
"['AUS Home Décor - Wall Art,AUS Furniture - Armchairs,AUS Furniture - Occasional - Side/End Tables,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art']",1,0,0.0,2018.0
"['AUS Furniture - Bedroom - Bed Mattresses,AUS Furniture - Bedroom - Bed Mattresses,AUS Furniture - Bedroom - Bed Mattresses']",5,4,80.0,2019.0
"['AUS Furniture - Bar Stools,AUS Lighting - Indoor - Ceiling Fixtures']",5,1,20.0,2019.0
"['AUS Home Decor - Easels,AUS Rugs - Rugs,AUS Toys - Toys (ALL TOYS)']",1,0,0.0,2019.0
"['AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Furniture - Entertainment - TV Units']",1,0,0.0,2019.0
"['AUS Dinnerware - Teacups & Mugs,AUS Outdoor - All Planters']",1,0,0.0,2019.0
"['AUS Furniture - Bedroom - Bedheads,AUS Furniture - Furniture Covers,AUS Furniture - Furniture Covers,AUS Manchester - Quilt Covers']",1,0,0.0,2019.0
"['AUS Furniture - Dining - Dining Chairs,AUS Kitchenware - Knives,AUS Furniture - Occasional - Coffee Tables,AUS Furniture - Entertainment - TV Units']",1,0,0.0,2019.0
"['AUS Manchester - Bed Sheets,AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Occasional - Console Tables,AUS Furniture - Bedroom - Bedside Tables']",1,0,0.0,2019.0
"['AUS Manchester - Home - Curtains,AUS S&O - Cupboards']",1,1,100.0,2019.0
"['AUS Manchester - Mattress Toppers' 'Pads' 'Underlays,AUS Rugs - Rugs']",1,0,0.0,2019.0
"['AUS Furniture - Entertainment - TV Units,AUS Manchester - Home - Dining & Table Linens,AUS Furniture - Occasional - Ottomans & Stools,AUS Kitchenware - [Table] Coasters & Trivets,AUS S&O - Cupboards,AUS S&O - Bookcases & Shelving Units,AUS S&O - Bookcases & Shelving Units,AUS Furniture - Occasional - Side/End Tables,AUS S&O - Bookcases & Shelving Units']",1,0,0.0,2019.0
"['AUS Manchester - Quilts,AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Manchester - Blankets & Throws']",1,0,0.0,2019.0
"['AUS Pet - [Dog & Cat] Leads & Collars,AUS Pet - [Cat] Cat Trees & Scratching Posts,AUS Pet - [Dog & Cat] Pet Beds & Blankets,AUS Lighting - Party Lights']",1,1,100.0,2019.0
"['AUS Furniture - Dining - Dining Chairs,AUS Furniture - Dining - Dining Chairs,AUS Home Décor - Wall Art,AUS Furniture - Dining - Dining Chairs']",1,0,0.0,2019.0
"['AUS Dinnerware - Serving Pieces,AUS Seasonal - Christmas Lights']",1,0,0.0,2019.0
"['AUS Manchester - Quilt Covers,AUS Furniture - Bedroom - Bed Mattresses,AUS Furniture - Bedroom - Beds,AUS Furniture - Wine Racks & Cabinets']",1,0,0.0,2020.0
"['AUS Outdoor - Garden - Statues,AUS Outdoor - Garden - Statues']",21,1,4.76,2019.0
